request,createdAt,quantity,value,status,material_id,group_id,classification_id
4512192115,2025-10-10T12:09:54,255,3422.83,QUOTATION,35672019-b6d1-42b4-b906-8819b248182e,5,4000
4511062208,2025-10-28T01:51:41,105,2676.29,REJECTED,d5b6a98e-464a-4e85-ad1c-7fd6be7df835,2,3000
4531288444,2025-06-06T16:39:29,980,1913.04,REJECTED,0c328cd6-def4-4097-8b5d-ef9b4362cfd3,4,4000
4582393692,2025-06-18T19:22:39,563,5609.78,QUOTATION,408c4fe5-9066-4997-8f1c-ad8daae4b1f6,3,2000
4569387674,2025-09-05T22:53:45,533,8335.22,APPROVED,51991c98-a328-457f-a862-0962b2d30ddc,5,2000
4543280505,2025-11-02T06:34:49,528,9544.98,APPROVED,de541e55-b7b6-404a-8ce0-a6f1ea925750,4,3000
4507440317,2025-08-09T20:26:54,114,1001.89,WAITING,110f8801-eea1-420d-98e6-dd439569747b,2,2000
4546054249,2025-09-03T22:38:53,326,1483.82,APPROVED,a1ad3c2b-45ca-491c-8ef2-a64af7d19e43,3,4000
4530612814,2025-11-27T08:18:48,673,3405.15,QUOTATION,ce1eeb99-74a8-4547-b95c-345102c07d21,5,1000
4581040128,2025-09-20T11:34:18,844,9416.72,REJECTED,2c6e3cb9-21cb-4de6-ae38-f117a3cbdfe2,1,1000
4516435134,2025-06-22T01:42:09,724,973.78,WAITING,d5b6a98e-464a-4e85-ad1c-7fd6be7df835,2,1000
4519654628,2025-06-07T13:16:58,247,4577.84,QUOTATION,975480d4-8c15-44ba-8c55-a9938bdaa2c4,2,1000
4592377040,2025-08-01T23:10:16,605,1306.46,QUOTATION,aa51a37d-2867-459b-8885-b5c8b161616a,4,2000
4597592409,2025-08-02T06:37:33,87,9580.25,WAITING,c40f8a37-9024-4fcd-80a6-7917301ba6bd,1,3000
4514498816,2025-07-03T12:59:23,305,8855.45,REJECTED,a1a6e723-19c6-46fd-a584-917efe27f127,4,1000
4598259343,2025-09-08T05:13:50,807,8731.36,QUOTATION,fffeaf8f-4b6b-4357-a309-89f4769c36da,4,3000
4573421732,2025-09-09T14:16:03,258,2582.5,REJECTED,aa51a37d-2867-459b-8885-b5c8b161616a,2,3000
4508398601,2025-09-20T00:49:12,28,823.97,QUOTATION,d4dbba0a-2b26-4233-9017-bb25b2e860f3,4,1000
4529575907,2025-10-08T05:37:16,658,4109.21,WAITING,3f3292d8-3056-42da-9ec5-d080c252a223,3,1000
4542279137,2025-11-14T17:46:42,104,6989.52,QUOTATION,a9da22e7-f42f-4428-9083-96395b7a7e9a,4,3000
4593557983,2025-06-16T20:47:20,644,3293.09,WAITING,f524f9ee-95cb-4e66-a6c1-b58f8296e7f3,4,2000
4598486718,2025-09-10T02:53:20,175,7111.95,APPROVED,f524f9ee-95cb-4e66-a6c1-b58f8296e7f3,5,3000
4501032100,2025-09-19T21:02:48,256,5719.62,QUOTATION,4a5df305-6d85-4b5a-81ca-b2a776017f8f,5,4000
4540507028,2025-09-12T10:58:58,293,7000.09,REJECTED,b0154cbb-c693-4062-88b9-a8acf4402b56,3,2000
4543645569,2025-09-07T21:33:57,294,5390.16,QUOTATION,e069016d-d217-4fbc-b438-1e8790b731fb,4,2000
4576666510,2025-11-15T06:34:05,474,3217.37,REJECTED,77b34563-244c-46da-b014-af1a9c7fa9e4,4,3000
4584778134,2025-11-15T00:18:00,633,1708.93,REJECTED,d4dbba0a-2b26-4233-9017-bb25b2e860f3,3,1000
