ID,description,suggestedValue
9a109dc4-7be3-4aec-94bb-ede38f79ae14,Caneta BIC Azul,3033.49
d0d94739-009d-44aa-ae3d-8c35a65083c5,Notebook,888.1
de541e55-b7b6-404a-8ce0-a6f1ea925750,Papel A4,2684.04
651e8d5b-8636-4635-a934-6f9427d506b8,Manutenção Elétrica,4697.84
17dffc12-ac1a-44ed-ad09-3c824851c624,Teclado USB,4461.07
68681084-7b12-4fd9-9704-7da3802cb451,Placa Arduino,4164.67
134244b2-90f7-4d62-8488-d71e29828266,Toner Impressora,4824.83
73df3d25-bcec-47a6-8d66-6b628e81ed2d,Servidor HTP,470.92
3341d7ea-5bed-42e4-82c2-18d0adfbcdf1,Frete Expresso,1408.73
35672019-b6d1-42b4-b906-8819b248182e,Óleo Lubrificante,4303.7
82ebf1b0-6982-4deb-ac51-c7a6d0a68c5d,Mouse Óptico,4231.04
bf599d91-442c-4e09-b5ae-b9f08a417d11,Monitor 24 Polegadas,2280.72
a4926703-442b-4179-808a-04de7d4e1015,Cabo HDMI,1314.86
f524f9ee-95cb-4e66-a6c1-b58f8296e7f3,Calculadora Científica,4885.63
da731710-48f7-4c02-8dd6-917ff4c62e3b,Mesa de Escritório,290.56
62117371-6664-4e90-9e4c-e3939789c81a,Cadeira Ergonômica,2642.65
2ab670e8-49e3-4a95-9871-d937f77b5927,Envelope Kraft,121.15
5257f4f1-580e-4eb3-89f9-6cae458e4509,Apagador de Quadro Branco,3337.4
51991c98-a328-457f-a862-0962b2d30ddc,Quadro Branco,328.65
384bae62-8ba8-4cac-b8ad-3df4e68bcafa,Roteador Wi-Fi,2956.82
fcc9df1e-2761-4b55-8f60-015b21066d78,Switch 24 Portas,1152.23
0b319577-4ab0-4684-b112-b27aad212cb1,HD Externo 1TB,500.89
4029508a-afa4-4faf-b175-4bb65b8a4dbb,SSD 512GB,2754.2
791660af-f0db-4fbd-a3a4-86bd38182556,Processador Intel i5,1882.56
ba5b8587-5d45-44ac-9e4e-16cb4b3afecc,Memória RAM 8GB,2304.83
71b893be-0a75-41a7-9a52-bcdb771cc5ec,Extensão Elétrica 5m,1175.38
f6979cad-3c89-4280-985d-d7f07aaa8c2b,Filtro de Linha,2427.97
cf11fe2a-443a-44e9-96b0-e6b91ddfa87d,Copo Descartável,4915.54
12a301b9-4c71-4181-a853-d29be7b6bd18,Álcool Isopropílico,1626.14
56ae9e46-c0b2-46ca-b51d-5686e00ce4a6,Etiqueta Adesiva,2536.85
dbce3e63-1a5c-4595-a1f9-d09c3d978567,Protetor de Tela,4408.52
0c328cd6-def4-4097-8b5d-ef9b4362cfd3,Lixeira Plástica,4438.54
41f3b33b-8871-42fd-90d5-1d1d9f2d5aed,Pasta Suspensa,1011.67
eb8e5632-45d0-47e9-bcc0-ee76bf030643,Grampeador,195.63
e7ba4d18-37bf-472c-9d3a-7756c21a55c9,Grampo 26/6,1673.83
4a2d279e-2495-496f-80d9-bc5a45e3b6b4,Carregador USB,1187.23
b0154cbb-c693-4062-88b9-a8acf4402b56,Adaptador Tomada,1822.72
915bda23-d2b3-4bab-9d3b-0b701beb76fa,Cabo de Rede CAT6,3142.95
b020551c-5fe7-45ea-881a-6fa78332362d,Alicate de Corte,2548.37
ba3d4978-80db-4a12-9f06-e4c698936184,Multímetro Digital,3983.82
c40f8a37-9024-4fcd-80a6-7917301ba6bd,Fita Isolante,368.35
9567383e-1921-4683-803b-509faa2bc9d5,Martelo,53.4
a1ad3c2b-45ca-491c-8ef2-a64af7d19e43,Chave Philips,3761.19
41e46c83-90d4-4836-a022-b900a018b3fa,Chave de Fenda,2678.32
8df0c99e-2745-44ae-94ee-ad79cb114fdb,Furadeira Elétrica,3600.74
3f3292d8-3056-42da-9ec5-d080c252a223,Serra Tico-Tico,952.95
d7da1df8-a4af-4efe-a657-570c6d350470,Parafusadeira,2000.34
611eefb3-ef38-4a2e-831a-15aff1dde8f8,Parafuso M6,1191.24
6c55f239-a4f0-4edd-afe8-02d129db9eda,Porca M6,2850.24
975480d4-8c15-44ba-8c55-a9938bdaa2c4,Arruela M6,122.76
daffc87a-fdb5-424e-9155-782c6cd1b731,Capacete de Segurança,2247.69
0f7e95f4-4fb9-4987-a1e1-5264880e721e,Luva de Proteção,4071.78
77b34563-244c-46da-b014-af1a9c7fa9e4,Óculos de Segurança,427.62
6cc3c3b9-23fa-4969-8791-af89dedc62c9,Máscara Descartável,2138.96
15ddc72a-7103-4a88-a951-49c5aa75affd,Colete Refletivo,3405.83
cea90057-5542-4a9f-8ad8-2fa263b39b7b,Bota de Segurança,1057.44
408c4fe5-9066-4997-8f1c-ad8daae4b1f6,Trena 5m,1076.05
0e752cfe-75ff-427d-8214-57710b509b33,Nível a Laser,1796.5
31ac60a6-1bc1-442c-ae10-4a420f770538,Broca 10mm,3900.07
ad64acbd-9045-44ec-9111-f6b3b90cb060,Cano PVC 50mm,2927.89
0a58bce2-1697-4c89-b568-ae280f33f982,Cola Instantânea,4238.61
0439439c-8945-42c4-b079-5340d85df97c,Cola Epóxi,1426.33
bcebc30c-15e5-48e2-9c32-c86d886f82a0,Tinta Spray Preta,184.2
3c65561d-5119-4985-87e7-48965fe9f62c,Tinta Spray Branca,3255.9
32149af9-a4f0-4e80-a73d-490a9faef06f,Pincel Médio,572.98
74d238f7-61d4-41c6-9d51-b05f2eddcb36,Rolo de Pintura,3893.25
9c7454a7-b80c-4d19-b841-4c0343b75add,Lixa 120,3636.09
4a5df305-6d85-4b5a-81ca-b2a776017f8f,Lixa 220,1082.77
76fa0c16-dc3a-4a9b-b914-de6a0097f3dc,Caderno Universitário,968.31
d4dbba0a-2b26-4233-9017-bb25b2e860f3,Agenda 2025,1027.1
5c250769-58e7-4a67-92b8-05566aab2cd0,Suporte de Monitor,2308.55
f6dd041e-f994-407c-9a1b-2ee8a39b9b25,Hub USB,579.25
3ee51816-f540-45e6-8401-474c5df84e78,Fonte ATX 500W,1884.03
8ca5ca23-a910-469b-aec1-73bd31d74ba2,Cabo de Força,1842.85
37bf8863-0046-49cb-a72c-f7e41661214b,Relógio de Parede,1127.11
b6bbc970-46d2-4ff4-9c52-80f378cfe8ea,Cafeteira Elétrica,176.81
ea38b7e1-b488-4873-ab04-3066d219b434,Filtro de Café,4203.12
00a417fb-f2b9-4bb8-90c0-0787c3f2e3c7,Açúcar Refinado,4611.03
01bb5e4b-33d3-4db2-85a2-499f5c9e31b4,Café em Pó,377.12
2cf52c48-a37c-4244-a030-3fe16c443ecd,"Água Mineral 1,5L",2629.95
3d3527a9-4ef5-45d5-83c2-4178789f9921,Caneca Cerâmica,3993.56
fffeaf8f-4b6b-4357-a309-89f4769c36da,Papel Toalha,235.97
b577718c-a2a9-4f8a-a41c-7cac0d102aab,Sabonete Líquido,3670.06
9fc109ea-2585-4c23-9329-2ccda2d964eb,Detergente Neutro,298.81
